出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/08/06","115/7","4420","光明","紡織纖維","82044","77002","93243","6.547881873198099","-12.010553071008012","560206","614310","-8.807279712197424","-"
"115/08/06","115/7","4528","江興鍛","電機機械","127393","119070","132755","6.990005878894768","-4.039019245979436","841241","901850","-6.720518933303764","-"
"115/08/06","115/7","4561","健椿","電機機械","125967","109091","99571","15.46965377528852","26.50972672766167","689491","577205","19.453400438319143","-"
"115/08/06","115/7","4584","君帆","電機機械","103636","99832","117021","3.8104014744771217","-11.438117944642414","642489","804879","-20.17570342871413","-"
"115/08/06","115/7","4702","中美實","居家生活","402","4742","6718","-91.5225643188528","-94.01607621315868","37210","43923","-15.283564419552398","本月營收較去年同期增減變動達50％以上，主要是船舶延期所致。"
"115/08/06","115/7","4735","豪展","生技醫療業","114761","82131","80177","39.72921308641073","43.13456477543435","602814","531906","13.330926893097653","-"
"115/08/06","115/7","4743","合一","生技醫療業","8679","10468","17367","-17.090179594956055","-50.02591121091726","85206","69235","23.067812522568065","本月營收減少，主係客戶需求減少。"
"115/08/06","115/7","4760","勤凱科技","其他電子業","269740","248915","151219","8.366309784464576","78.37705579325349","1607980","996422","61.37540118544151","本月較去年同月份出貨量增加"
"115/08/06","115/7","4909","新復興","通信網路業","16683","16860","21201","-1.0498220640569396","-21.31031555115325","120157","191418","-37.22795139433073","-"
"115/08/06","115/7","4911","德英","生技醫療業","11290","11556","27881","-2.301834544825199","-59.50647394282845","77950","188063","-58.55112382552655","公司行銷團隊建置中"
"115/08/06","115/7","4966","譜瑞-KY","半導體業","1353309","1672372","1414696","-19.078470579512214","-4.339236132709783","9593304","9668449","-0.7772187659054726","-"
"115/08/06","115/7","4972","湯石照明","光電業","87973","86929","69125","1.2009801102048798","27.266546112115734","586346","542874","8.007751338247918","-"
"115/08/06","115/7","4974","亞泰","電子零組件業","385056","348237","382985","10.572971855374357","0.5407522487825894","2394554","2439300","-1.8343787152051818","-"
"115/08/06","115/7","5015","華祺","鋼鐵工業","136717","110475","131569","23.75379045032813","3.9127758058509223","737164","951525","-22.52815217676887","-"
"115/08/06","115/7","5272","笙科","半導體業","33967","29949","25884","13.416140772646832","31.2277855045588","194658","215223","-9.555205531007374","-"
"115/08/06","115/7","5274","信驊","半導體業","1524018","1310195","771292","16.31993710859834","97.59287014515903","8542184","5082957","68.05540554444981","本月及本年增減百分比達50%以上者，主係伺服器晶片營收較去年同期成長所致。"
"115/08/06","115/7","5299","杰力","半導體業","121937","125277","130349","-2.666091940260383","-6.453444215145494","911710","942787","-3.296290678594423","-"
"115/08/06","115/7","5310","天剛","資訊服務業","7","85","32","-91.76470588235294","-78.125","330","431","-23.4338747099768","本月營收減少係因資訊系統整合業務銷售量較去年同期減少所致"
"115/08/06","115/7","5315","光聯","光電業","143294","148708","133795","-3.6406918255910914","7.099667401621884","1067603","1139211","-6.2857539121374355","-"
"115/08/06","115/7","5344","立衛","半導體業","32398","31668","30619","2.3051660982695465","5.8101179006499235","217982","192132","13.454291841025961","-"
"115/08/06","115/7","5345","馥鴻","其他","2685","4633","626","-42.04619037340816","328.91373801916933","24136","3777","539.025681758009","主係產品線成熟且結合經銷商銷售動能，導致較去年同期增加。"
"115/08/06","115/7","5490","同亨","電腦及週邊設備業","140713","179613","90193","-21.657675112603208","56.01321610324526","1040107","848286","22.61277446521574","因去年同期主要客戶出貨減少"
"115/08/06","115/7","5508","永信建","建材營造","275059","505340","101775","-45.56951755253888","170.26185212478507","2006086","1407885","42.48933684214265","營收隨完工案量多寡而變化乃屬建設業特性，故本期業績大幅成長尚屬合理。"
"115/08/06","115/7","5547","久舜","建材營造","220229","234850","139172","-6.225675963380882","58.2423188572414","1435611","1280707","12.095194295026106","興建工程投入較去年同期增加所致。"
"115/08/06","115/7","5609","中菲行","航運業","3269476","3451671","2373016","-5.278457883152827","37.777242125632526","19852346","16782617","18.291122296361767","-"
"115/08/06","115/7","5864","致和證","金融業","-974304","266285","164416","-465.8876767373303","-692.5846632931101","4251082","84599","4924.979018664523","主要係營業證券評價故"
"115/08/06","115/7","6104","創惟","半導體業","337913","357943","323408","-5.595863028471014","4.485046752090239","2453181","2442477","0.4382436354569562","-"
"115/08/06","115/7","6121","新普","電腦及週邊設備業","7106470","7052170","6325831","0.7699757663244079","12.340497240599694","46492673","44330486","4.877426789320559","-"
"115/08/06","115/7","6124","業強","電子零組件業","182228","137101","172819","32.91515014478377","5.444424513508353","1127665","1153785","-2.263853317559164","-"
"115/08/06","115/7","6130","上亞科技","生技醫療業","22411","17786","11633","26.003598335769706","92.65021920398866","111380","90036","23.706073126305032","藥品收入及加工收入增加"
"115/08/06","115/7","6134","萬旭","電子零組件業","231601","209313","185966","10.64816805454033","24.539431939171678","1445129","999435","44.594595946709894","-"
"115/08/06","115/7","6138","茂達","半導體業","700098","694794","642109","0.7633917391341895","9.031021212909335","4742813","4237578","11.92273038985949","-"
"115/08/06","115/7","6146","耕興","其他電子業","415135","417190","375218","-0.49258131786476184","10.638348906502353","2848872","2604829","9.368868359496918","-"
"115/08/06","115/7","6158","禾昌","電子零組件業","168476","175892","157025","-4.216223591749483","7.2924693520140105","1065394","1070617","-0.48784952975714","-"
"115/08/06","115/7","6171","大城地產","建材營造","34","15640","180059","-99.78260869565217","-99.98111730044042","138836","1042942","-86.68804209630066","本月及本年累計營收較去年同期減少，係因去年同期「大城二月埕」集中完工交屋所致"
"115/08/06","115/7","6186","新潤","建材營造","14651","16492","2210536","-11.162988115449915","-99.33721957027616","3874028","8113722","-52.25338013799339","認列建案營收"
"115/08/06","115/7","6188","廣明","電腦及週邊設備業","681715","748280","652457","-8.895734217137969","4.484280190112146","4818528","5332073","-9.63124473352109","-"
"115/08/06","115/7","6194","育富","電子零組件業","73380","55600","121814","31.97841726618705","-39.76061864810285","559753","871737","-35.788775743142715","-"
"115/08/06","115/7","6218","豪勉","通信網路業","102950","205046","76718","-49.791754045433706","34.192757892541515","903816","799200","13.09009009009009","-"
"115/08/06","115/7","6274","台燿","電子零組件業","5908074","4895221","2667033","20.690649104504168","121.52234336807982","30263704","15819612","91.30497005868412","產品組合優化"
"115/08/06","115/7","6418","詠昇","電子零組件業","96879","92960","59446","4.2157917383821","62.96975406251051","533597","448851","18.880653045219905","客戶訂單增加"
"115/08/06","115/7","6435","大中","半導體業","334509","322830","269388","3.617693522906793","24.173682569379483","2233070","1979968","12.783135889064873","-"
"115/08/06","115/7","6441","廣錠","電腦及週邊設備業","10448","10948","22378","-4.567044208987943","-53.31128787201716","71798","187389","-61.68505088345634","因客戶舊專案已全數出貨，新專案尚未開始出貨，使本期拉貨數量減少，致營收下降。"
"115/08/06","115/7","6465","威潤","通信網路業","45076","37553","20562","20.03301999840226","119.21992024122167","200763","108119","85.68706702799693","本月因增加其他電子產品銷售、致本月較上期營收增加"
"115/08/06","115/7","6486","互動","通信網路業","171320","324711","107144","-47.239237352599694","59.89696109908161","1207407","1007717","19.81607931591905","本月營收較去年同期增加50%以上，係因本月認列營收的專案較去年同期增加所致。"
"115/08/06","115/7","6492","生華科","生技醫療業","80","80","83","0.0","-3.6144578313253013","560","583","-3.9451114922813035","-"
"115/08/06","115/7","6510","精測","半導體業","614606","573909","410084","7.091193900078236","49.87319671091776","3611590","2778193","29.997807927670973","-"
"115/08/06","115/7","6516","勤崴國際","資訊服務業","43828","51513","40154","-14.918564245918507","9.149773372515813","369603","293792","25.80431053262172","-"
"115/08/06","115/7","6532","瑞耘","半導體業","87975","61046","58998","44.1126363725715","49.11522424488966","450969","414872","8.700755895794366","-"
"115/08/06","115/7","6538","倉和","電子零組件業","157252","135650","96256","15.92480648728345","63.36851728723404","854381","913785","-6.500872743588481","本月主產品太陽能網版銷貨量大幅提升所致"
"115/08/06","115/7","6548","長科*","半導體業","1555599","1501447","1148574","3.6066541143310418","35.43742066249106","9542530","7577655","25.929855608364328","-"
"115/08/06","115/7","6561","是方","通信網路業","359172","360423","304286","-0.34709216670412263","18.03763564541254","2385128","2385055","0.0030607260629209807","-"
"115/08/06","115/7","6578","達邦蛋白","農業科技","37717","35234","25070","7.047170346824091","50.44674910251296","227292","184536","23.169462869033683","中聯事件致國內飼料用原料短缺，營運團隊立即應變，承擔起國內畜牧場飼料中優質蛋白原料之需求，備受產業客戶肯定。"
"115/08/06","115/7","6590","普鴻","資訊服務業","60313","79215","55851","-23.861642365713564","7.989113892320638","430777","386967","11.32137882558461","-"
"115/08/06","115/7","6629","泰金-KY","居家生活","240320","199563","120467","20.423124527091694","99.49031685025774","1593219","827816","92.46052262821689","新系列產品訂單成長"
"115/08/06","115/7","6679","鈺太","半導體業","174571","178675","160561","-2.296907793479782","8.725655669807736","1258881","1173045","7.317366341444702","-"
"115/08/06","115/7","6680","鑫創電子","電腦及週邊設備業","37284","55255","34494","-32.52375350647","8.088363193598887","330691","276455","19.61838273860122","-"
"115/08/06","115/7","6683","雍智科技","半導體業","230193","231316","185082","-0.48548306213145653","24.37352092585989","1546438","1185403","30.456730748952044","-"
"115/08/06","115/7","6690","安碁資訊","數位雲端","210914","239493","193693","-11.933125394061621","8.89087370219884","1495194","1307737","14.334457157670082","-"
"115/08/06","115/7","6693","廣閎科","半導體業","242458","234257","116064","3.5008558975825697","108.90026192445548","1409573","752082","87.422781026537","終端需求增加及新品導入量產"
"115/08/06","115/7","6712","長聖","生技醫療業","99247","93876","82211","5.721377135796157","20.722287771709382","559456","481013","16.30787525493074","-"
"115/08/06","115/7","6739","竹陞科技","其他電子業","138046","129283","69200","6.778153353495819","99.48843930635839","782029","396713","97.12714229178272","因客戶產線升級需求"
"115/08/06","115/7","6785","昱展新藥","生技醫療業","0","250","0","-100.0","","1500","1253","19.71268954509178","無"
"115/08/06","115/7","6811","宏碁資訊","數位雲端","1122017","1507301","764372","-25.56118519127898","46.78939050619332","7045814","5867594","20.080121426260916","-"
"115/08/06","115/7","6821","聯寶","電子零組件業","48875","49293","52725","-0.8479905868987483","-7.30203888098625","333389","359660","-7.304398598676528","-"
"115/08/06","115/7","6844","諾貝兒","生技醫療業","307947","273999","308027","12.389826240241753","-0.025971749229775312","2184649","2212587","-1.262684811941858","115/7/1取得合躍60%股權，屬共同控制下組織重整，視為自始取得，故重編去年比較期單月及累計營收數。"
"115/08/06","115/7","6877","鏵友益","其他電子業","55977","16297","40286","243.48039516475424","38.94901454599613","158798","285723","-44.422395116948934","-"
"115/08/06","115/7","6910","德鴻","數位雲端","26682","35209","32717","-24.21823965463376","-18.44606779350185","213633","204450","4.491562729273661","-"
"115/08/06","115/7","6913","鴻呈","電子零組件業","372741","308086","222598","20.98602338308135","67.45029155697715","1987226","1449104","37.134808819794856","雲端客戶伺服器需求量增加"
"115/08/06","115/7","6967","汎瑋材料","電子零組件業","151304","162801","127805","-7.061995933685911","18.38660459293455","971666","766584","26.7527107270697","-"
"115/08/06","115/7","7402","邑錡","光電業","49518","47519","36595","4.206738357288663","35.31356742724416","275687","315710","-12.677140413670774","-"
"115/08/06","115/7","7744","崴寶","電子零組件業","460037","409621","225025","12.307962726520369","104.43817353627375","2457289","1288923","90.64668719543371","主係客戶訂單增加及產品組合變化所致。"
"115/08/06","115/7","7770","君曜","半導體業","22806","18315","54533","24.520884520884522","-58.17945097463921","146204","291659","-49.871596624825564","終端市場需求放緩，致使本月客戶較去年同期拉貨減少所致"
"115/08/06","115/7","7814","海昌生技","生技醫療業","13686","14753","10025","-7.232427302921439","36.51870324189526","61923","40990","51.06855330568431","主係客戶需求增加所致"
"115/08/06","115/7","8027","鈦昇","電機機械","189408","246859","116517","-23.272799452318935","62.558253302093256","1198802","805948","48.744335862859636","因客戶擴產，設備需求較去年同期上升"
"115/08/06","115/7","8034","榮群","通信網路業","22804","14972","83907","52.3109804969276","-72.82229134637157","146333","273852","-46.5649328834553","主係去年同期標案結案金額較高"
"115/08/06","115/7","8083","瑞穎","電機機械","132076","150565","130111","-12.279746288978183","1.510248941288592","899371","883885","1.7520378782307653","-"
